Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0.25;0.0166666666666667;0.25
Main = TRUE;Ma;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0.5;0.0821428571428571;0.5
Main = TRUE;Ma;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0.25;0.15;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0.5;0.0651785714285714;0.5
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;1;1;0.25;0.1;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;1;1;0.25;0.0375;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.2;2;1;0.25;0.217857142857143;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.2;1;1;0.25;0.1;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.2;1;1;0.25;0.1375;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.2;2;1;0.5;0.0464285714285714;0.5
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.2;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.2;1;1;0;0;0
