"","finalresultNorm.Pr","finalresultNorm.Power2","finalresultNorm.Power3","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Power2","finalresultBin.Power3","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Power2","finalresultNormBin.Power3","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Power2","finalresultBinNorm.Power3","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"745",0.0783333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,150,0.0633333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,150,0.0593333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,150,0.069,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,150
"746",0.076,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,150,0.0703333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,150,0.0706666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,150,0.0713333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,150
"747",0.094,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,150,0.0846666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,150,0.104333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,150,0.0896666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,150
"757",0.0646666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,200,0.0653333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,200,0.0696666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,200,0.0673333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,200
"758",0.0766666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,200,0.0686666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,200,0.0866666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,200,0.0656666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,200
"759",0.104,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,200,0.087,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,200,0.0953333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,200,0.087,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,200
"769",0.0643333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,250,0.064,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,250,0.0663333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,250,0.067,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,250
"770",0.0896666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,250,0.0723333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,250,0.0776666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,250,0.0816666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,250
"771",0.0996666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,250,0.0743333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,250,0.0973333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,250,0.0816666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,250
"781",0.0686666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,300,0.0623333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,300,0.0653333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,300,0.0543333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,300
