"","finalresultNorm.Pr","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"93",0.148,"In FALSE","SD TRUE",3,1,150,0.123,"In FALSE","SD TRUE",3,2,150,0.152,"In FALSE","SD TRUE",3,3,150,0.16,"In FALSE","SD TRUE",3,4,150
"94",0.139,"In FALSE","SD TRUE",3,1,200,0.127,"In FALSE","SD TRUE",3,2,200,0.136,"In FALSE","SD TRUE",3,3,200,0.156,"In FALSE","SD TRUE",3,4,200
"95",0.154,"In FALSE","SD TRUE",3,1,250,0.117,"In FALSE","SD TRUE",3,2,250,0.128,"In FALSE","SD TRUE",3,3,250,0.154,"In FALSE","SD TRUE",3,4,250
"96",0.138,"In FALSE","SD TRUE",3,1,300,0.117,"In FALSE","SD TRUE",3,2,300,0.156,"In FALSE","SD TRUE",3,3,300,0.144,"In FALSE","SD TRUE",3,4,300
"97",0.142,"In FALSE","SD TRUE",3,1,350,0.125,"In FALSE","SD TRUE",3,2,350,0.13,"In FALSE","SD TRUE",3,3,350,0.138,"In FALSE","SD TRUE",3,4,350
"98",0.163,"In FALSE","SD TRUE",3,1,400,0.138,"In FALSE","SD TRUE",3,2,400,0.143,"In FALSE","SD TRUE",3,3,400,0.141,"In FALSE","SD TRUE",3,4,400
"99",0.151,"In FALSE","SD TRUE",3,1,450,0.122,"In FALSE","SD TRUE",3,2,450,0.152,"In FALSE","SD TRUE",3,3,450,0.14,"In FALSE","SD TRUE",3,4,450
"100",0.145,"In FALSE","SD TRUE",3,1,500,0.126,"In FALSE","SD TRUE",3,2,500,0.137,"In FALSE","SD TRUE",3,3,500,0.152,"In FALSE","SD TRUE",3,4,500
"101",0.347,"In TRUE","SD FALSE",3,1,50,0.535,"In TRUE","SD FALSE",3,2,50,0.591,"In TRUE","SD FALSE",3,3,50,0.329,"In TRUE","SD FALSE",3,4,50
"102",0.348,"In TRUE","SD FALSE",3,1,100,0.662,"In TRUE","SD FALSE",3,2,100,0.764,"In TRUE","SD FALSE",3,3,100,0.306,"In TRUE","SD FALSE",3,4,100
"103",0.334,"In TRUE","SD FALSE",3,1,150,0.753,"In TRUE","SD FALSE",3,2,150,0.885,"In TRUE","SD FALSE",3,3,150,0.319,"In TRUE","SD FALSE",3,4,150
"104",0.348,"In TRUE","SD FALSE",3,1,200,0.838,"In TRUE","SD FALSE",3,2,200,0.942,"In TRUE","SD FALSE",3,3,200,0.351,"In TRUE","SD FALSE",3,4,200
"105",0.32,"In TRUE","SD FALSE",3,1,250,0.906,"In TRUE","SD FALSE",3,2,250,0.972,"In TRUE","SD FALSE",3,3,250,0.321,"In TRUE","SD FALSE",3,4,250
"106",0.325,"In TRUE","SD FALSE",3,1,300,0.942,"In TRUE","SD FALSE",3,2,300,0.985,"In TRUE","SD FALSE",3,3,300,0.298,"In TRUE","SD FALSE",3,4,300
"107",0.322,"In TRUE","SD FALSE",3,1,350,0.963,"In TRUE","SD FALSE",3,2,350,0.993,"In TRUE","SD FALSE",3,3,350,0.32,"In TRUE","SD FALSE",3,4,350
"108",0.31,"In TRUE","SD FALSE",3,1,400,0.979,"In TRUE","SD FALSE",3,2,400,0.998,"In TRUE","SD FALSE",3,3,400,0.316,"In TRUE","SD FALSE",3,4,400
"109",0.328,"In TRUE","SD FALSE",3,1,450,0.99,"In TRUE","SD FALSE",3,2,450,0.999,"In TRUE","SD FALSE",3,3,450,0.297,"In TRUE","SD FALSE",3,4,450
"110",0.318,"In TRUE","SD FALSE",3,1,500,0.991,"In TRUE","SD FALSE",3,2,500,0.999,"In TRUE","SD FALSE",3,3,500,0.316,"In TRUE","SD FALSE",3,4,500
"111",0.079,"In FALSE","SD FALSE",3,1,50,0.08,"In FALSE","SD FALSE",3,2,50,0.092,"In FALSE","SD FALSE",3,3,50,0.07,"In FALSE","SD FALSE",3,4,50
"112",0.065,"In FALSE","SD FALSE",3,1,100,0.08,"In FALSE","SD FALSE",3,2,100,0.081,"In FALSE","SD FALSE",3,3,100,0.079,"In FALSE","SD FALSE",3,4,100
"113",0.085,"In FALSE","SD FALSE",3,1,150,0.076,"In FALSE","SD FALSE",3,2,150,0.084,"In FALSE","SD FALSE",3,3,150,0.05,"In FALSE","SD FALSE",3,4,150
"114",0.077,"In FALSE","SD FALSE",3,1,200,0.067,"In FALSE","SD FALSE",3,2,200,0.072,"In FALSE","SD FALSE",3,3,200,0.091,"In FALSE","SD FALSE",3,4,200
"115",0.087,"In FALSE","SD FALSE",3,1,250,0.084,"In FALSE","SD FALSE",3,2,250,0.068,"In FALSE","SD FALSE",3,3,250,0.085,"In FALSE","SD FALSE",3,4,250
"116",0.09,"In FALSE","SD FALSE",3,1,300,0.066,"In FALSE","SD FALSE",3,2,300,0.083,"In FALSE","SD FALSE",3,3,300,0.062,"In FALSE","SD FALSE",3,4,300
"117",0.081,"In FALSE","SD FALSE",3,1,350,0.081,"In FALSE","SD FALSE",3,2,350,0.075,"In FALSE","SD FALSE",3,3,350,0.074,"In FALSE","SD FALSE",3,4,350
"118",0.084,"In FALSE","SD FALSE",3,1,400,0.082,"In FALSE","SD FALSE",3,2,400,0.092,"In FALSE","SD FALSE",3,3,400,0.087,"In FALSE","SD FALSE",3,4,400
"119",0.096,"In FALSE","SD FALSE",3,1,450,0.076,"In FALSE","SD FALSE",3,2,450,0.088,"In FALSE","SD FALSE",3,3,450,0.088,"In FALSE","SD FALSE",3,4,450
"120",0.083,"In FALSE","SD FALSE",3,1,500,0.069,"In FALSE","SD FALSE",3,2,500,0.088,"In FALSE","SD FALSE",3,3,500,0.067,"In FALSE","SD FALSE",3,4,500
"121",0.685,"In TRUE","SD TRUE",4,1,50,0.794,"In TRUE","SD TRUE",4,2,50,0.867,"In TRUE","SD TRUE",4,3,50,0.629,"In TRUE","SD TRUE",4,4,50
"122",0.658,"In TRUE","SD TRUE",4,1,100,0.886,"In TRUE","SD TRUE",4,2,100,0.948,"In TRUE","SD TRUE",4,3,100,0.647,"In TRUE","SD TRUE",4,4,100
"123",0.701,"In TRUE","SD TRUE",4,1,150,0.954,"In TRUE","SD TRUE",4,2,150,0.982,"In TRUE","SD TRUE",4,3,150,0.679,"In TRUE","SD TRUE",4,4,150
